dataTagId,description
,STEAM PRESSURE
,STEAM FLOW TRANSMITTER NO.1
TEST1,BOILER LOAD
TEST2,OXYGEN PERCENTAGE
,FURNACE DRAFT 
,BOILER EXIT FLUE GAS TEMPERATURE
TEST3,STACK TEMPERATURE
,ID FAN VFD SPEED CONTROL SIGNAL
,BOILER EXIT STEAM TEMP (SATURATED)
,TOTALISED FUEL FLOW
,TOTALISED STEAM FLOW
,FEED WATER TEMPERATURE
,SUPERHEATED STEAM TEMPERATURE
,WATER FLOW TOTALISATION
,BOILER WATER LEVEL HIGH
,BOILER WATER LEVEL LOW
,BOILER WATER LEVEL LOW LOW
,BOILER STEAM PRESSURE HIGH HIGH
,BOILER STEAM PRESSURE HIGH
,TANK - LEVEL LOW
,TANK - LEVEL VERY LOW
,PIC2_15_SP
,BOILER WATER LEVEL
,LIC2_4_SP
,WATER FLOW
,DIC10_4_SP
,FURNACE EXIT FLUE GAS TEMP
,Rotary dosing bin Motor - R phase current
,Rotary dosing bin Motor - Y phase current
,Rotary dosing bin Motor - B phase current
,Rotary dosing bin Motor - vibration
,Rotary dosing bin Motor - bearing temperature
,Sand screw - R phase current
,Sand screw - Y phase current
,Sand screw - B phase current
,Sand screw - vibration
,Sand screw - bearing temperature
,ID Fan - R phase current
,ID Fan - Y phase current
,ID Fan - B phase current
,ID Fan - vibration
,ID Fan - bearing temperature
,Submerged Ash Conveyor 1 - R phase current
,Submerged Ash Conveyor 1 - Y phase current
,Submerged Ash Conveyor 1 - B phase current
,Submerged Ash Conveyor 1 - vibration
,Submerged Ash Conveyor 1 - bearing temperature
,Slat Conveyor 1 - R phase current
,Slat Conveyor 1 - Y phase current
,Slat Conveyor 1 - B phase current
,Slat Conveyor 1 - vibration
,Slat Conveyor 1 - bearing temperature
,ECONOMISER RAV  - R phase current
,ECONOMISER RAV  - Y phase current
,ECONOMISER RAV  - B phase current
,ECONOMISER RAV  - vibration
,ECONOMISER RAV  - bearing temperature
,WATER PRE HEATER RAV  - R phase current
,WATER PRE HEATER RAV  - Y phase current
,WATER PRE HEATER RAV  - B phase current
,WATER PRE HEATER RAV  - vibration
,WATER PRE HEATER RAV  - bearing temperature
,AIR PRE HEATER RAV  - R phase current
,AIR PRE HEATER RAV  - Y phase current
,AIR PRE HEATER RAV  - B phase current
,AIR PRE HEATER RAV  - vibration
,AIR PRE HEATER RAV  - bearing temperature
,BED ASH SCREW 1 RAV 1  - R phase current
,BED ASH SCREW 1 RAV 1  - Y phase current
,BED ASH SCREW 1 RAV 1  - B phase current
,BED ASH SCREW 1 RAV 1  - vibration
,BED ASH SCREW 1 RAV 1  - bearing temperature
,ID FAN RUN FEEDBACK
,ID FAN START/STOP
,ID FAN TRIP FEEDBACK
,WATER PRE HEATER RAV START/STOP
,WATER PRE HEATER RAV RUN FEEDBACK
,WATER PRE HEATER RAV TRIP FEEDBACK
,AIR PRE HEATER RAV START/STOP
,AIR PRE HEATER RAV RUN FEEDBACK
,AIR PRE HEATER RAV TRIP FEEDBACK
,BED ASH SCREW 1 RAV 1 START/STOP
,BED ASH SCREW 1 RAV 1 RUN FEEDBACK
,BED ASH SCREW 1 RAV 1 TRIP FEEDBACK
,PRIMARY FD FAN NO.1 START/STOP
,GRATE TROLLEY NO.1 FORWARD SOV ON/OFF
,GRATE TROLLEY NO.1 REVERSE SOV ON/OFF
,Ram pusher 1 - R phase current
,Ram pusher 1 - Y phase current
,Ram pusher 1 - B phase current
,Ram pusher 1 - vibration
,Ram pusher 1 - bearing temperature
,FD Fan 1 Motor - R phase current
,FD Fan 1 Motor - Y phase current
,FD Fan 1 Motor - B phase current
,FD Fan 1 Motor - vibration
,FD Fan 1 Motor - bearing temperature
,SA Fan 1 Motor - R phase current
,SA Fan 1 Motor - Y phase current
,SA Fan 1 Motor - B phase current
,SA Fan 1 Motor - vibration
,SA Fan 1 Motor - bearing temperature
,Fuel Screw 1 - R phase current
,Fuel Screw 1 - Y phase current
,Fuel Screw 1 - B phase current
,Fuel Screw 1 - vibration
,Fuel Screw 1 - bearing temperature
,Rotary Feeder 1 - R phase current
,Rotary Feeder 1 - Y phase current
,Rotary Feeder 1 - B phase current
,Rotary Feeder 1 - vibration
,Rotary Feeder 1 - bearing temperature
,Booster Fan 1 - R phase current
,Booster Fan 1 - Y phase current
,Booster Fan 1 - B phase current
,Booster Fan 1 - vibration
,Booster Fan 1 - bearing temperature
,Bucket elevator 1 - R phase current
,Bucket elevator 1 - Y phase current
,Bucket elevator 1 - B phase current
,Bucket elevator 1 - vibration
,Bucket elevator 1 - bearing temperature
,Slat conveyor 1 - R phase current
,Slat conveyor 1 - Y phase current
,Slat conveyor 1 - B phase current
,Slat conveyor 1 - vibration
,Slat conveyor 1 - bearing temperature
,Crusher 1 - R phase current
,Crusher 1 - Y phase current
,Crusher 1 - B phase current
,Crusher 1 - vibration
,Crusher 1 - bearing temperature
,Dust extraction fan 1 - R phase current
,Dust extraction fan 1 - Y phase current
,Dust extraction fan 1 - B phase current
,Dust extraction fan 1 - vibration
,Dust extraction fan 1 - bearing temperature
,Feed Water Pump 1 - R phase current
,Feed Water Pump 1 - Y phase current
,Feed Water Pump 1 - B phase current
,Feed Water Pump 1 - vibration
,Feed Water Pump 1 - bearing temperature
,Ash Screw 1 - R phase current
,Ash Screw 1 - Y phase current
,Ash Screw 1 - B phase current
,Ash Screw 1 - vibration
,Ash Screw 1 - bearing temperature
